MPRN,Meter Serial Number,Read Value,Read Type,Read Date & Time
10003251046,33964936,0.362000,Active Import Interval (kW),16-01-2023 07:30
10003251046,33964936,0.284000,Active Import Interval (kW),16-01-2023 07:00
10003251046,33964936,0.307000,Active Import Interval (kW),16-01-2023 06:30
10003251046,33964936,0.452000,Active Import Interval (kW),16-01-2023 06:00
10003251046,33964936,0.359000,Active Import Interval (kW),16-01-2023 05:30
10003251046,33964936,0.325000,Active Import Interval (kW),16-01-2023 05:00
10003251046,33964936,0.367000,Active Import Interval (kW),16-01-2023 04:30
10003251046,33964936,0.350000,Active Import Interval (kW),16-01-2023 04:00
10003251046,33964936,0.352000,Active Import Interval (kW),16-01-2023 03:30
10003251046,33964936,0.449000,Active Import Interval (kW),16-01-2023 03:00
10003251046,33964936,0.458000,Active Import Interval (kW),16-01-2023 02:30
10003251046,33964936,0.444000,Active Import Interval (kW),16-01-2023 02:00
10003251046,33964936,1.565000,Active Import Interval (kW),16-01-2023 01:30
10003251046,33964936,0.486000,Active Import Interval (kW),16-01-2023 01:00
10003251046,33964936,0.552000,Active Import Interval (kW),16-01-2023 00:30
10003251046,33964936,1.465000,Active Import Interval (kW),16-01-2023 00:00
10003251046,33964936,0.617000,Active Import Interval (kW),15-01-2023 23:30
10003251046,33964936,0.653000,Active Import Interval (kW),15-01-2023 23:00
10003251046,33964936,0.860000,Active Import Interval (kW),15-01-2023 22:30
10003251046,33964936,2.136000,Active Import Interval (kW),15-01-2023 22:00
10003251046,33964936,1.702000,Active Import Interval (kW),15-01-2023 21:30
10003251046,33964936,4.629000,Active Import Interval (kW),15-01-2023 21:00
10003251046,33964936,2.604000,Active Import Interval (kW),15-01-2023 20:30
10003251046,33964936,1.493000,Active Import Interval (kW),15-01-2023 20:00
10003251046,33964936,1.686000,Active Import Interval (kW),15-01-2023 19:30
10003251046,33964936,1.612000,Active Import Interval (kW),15-01-2023 19:00
10003251046,33964936,1.321000,Active Import Interval (kW),15-01-2023 18:30
10003251046,33964936,1.865000,Active Import Interval (kW),15-01-2023 18:00
10003251046,33964936,1.187000,Active Import Interval (kW),15-01-2023 17:30
10003251046,33964936,1.243000,Active Import Interval (kW),15-01-2023 17:00
10003251046,33964936,1.436000,Active Import Interval (kW),15-01-2023 16:30
10003251046,33964936,2.115000,Active Import Interval (kW),15-01-2023 16:00
10003251046,33964936,1.119000,Active Import Interval (kW),15-01-2023 15:30
10003251046,33964936,1.271000,Active Import Interval (kW),15-01-2023 15:00
10003251046,33964936,1.736000,Active Import Interval (kW),15-01-2023 14:30
10003251046,33964936,0.639000,Active Import Interval (kW),15-01-2023 14:00
10003251046,33964936,0.560000,Active Import Interval (kW),15-01-2023 13:30
10003251046,33964936,0.352000,Active Import Interval (kW),15-01-2023 13:00
